Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
0.0.0.0         10.11.79.129    0.0.0.0         UG    0      0        0 tap20
0.0.0.0         192.168.178.1   0.0.0.0         UG    2      0        0 eth5
0.0.0.0         192.168.179.1   0.0.0.0         UG    3      0        0 eth4
5.9.2.138       192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
5.9.2.138       192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
10.11.64.0      0.0.0.0         255.255.255.192 U     0      0        0 br1
10.11.64.11     10.11.64.11     255.255.255.255 UGH   2      0        0 br1
10.11.64.17     10.11.64.17     255.255.255.255 UGH   2      0        0 br1
10.11.64.18     10.11.64.18     255.255.255.255 UGH   2      0        0 br1
10.11.64.68     0.0.0.0         255.255.255.252 U     0      0        0 tap0
10.11.64.70     10.11.64.70     255.255.255.255 UGH   2      0        0 tap0
10.11.64.72     10.11.66.3      255.255.255.252 UG    2      0        0 br2
10.11.64.192    10.11.79.129    255.255.255.192 UG    2      0        0 tap20
10.11.66.0      0.0.0.0         255.255.255.0   U     0      0        0 br2
10.11.66.3      10.11.66.3      255.255.255.255 UGH   2      0        0 br2
10.11.67.66     10.11.66.3      255.255.255.255 UGH   2      0        0 br2
10.11.67.67     10.11.64.17     255.255.255.255 UGH   2      0        0 br1
10.11.69.0      0.0.0.0         255.255.255.128 U     0      0        0 eth6
10.11.69.192    10.11.66.3      255.255.255.192 UG    2      0        0 br2
10.11.69.193    10.11.66.3      255.255.255.255 UGH   2      0        0 br2
10.11.69.194    10.11.66.3      255.255.255.255 UGH   2      0        0 br2
10.11.70.0      10.11.64.18     255.255.255.0   UG    2      0        0 br1
10.11.71.192    10.11.64.18     255.255.255.192 UG    2      0        0 br1
10.11.79.0      10.11.79.129    255.255.255.0   UG    2      0        0 tap20
10.11.79.128    0.0.0.0         255.255.255.128 U     0      0        0 tap20
10.11.79.129    10.11.79.129    255.255.255.255 UGH   2      0        0 tap20
10.11.80.0      10.11.64.17     255.255.255.192 UG    2      0        0 br1
10.11.80.64     10.11.64.11     255.255.255.192 UG    2      0        0 br1
10.11.81.0      10.11.64.17     255.255.255.248 UG    2      0        0 br1
10.11.81.1      10.11.64.17     255.255.255.255 UGH   2      0        0 br1
10.11.81.2      10.11.64.17     255.255.255.255 UGH   2      0        0 br1
10.11.81.3      10.11.64.11     255.255.255.255 UGH   2      0        0 br1
79.229.168.124  192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
79.229.168.124  192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
80.147.172.201  192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
80.147.172.201  192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
80.153.166.24   192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
80.153.166.24   192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
144.76.143.122  192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
144.76.143.122  192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
172.16.0.0      10.11.66.3      255.255.255.0   UG    2      0        0 br2
172.16.16.0     10.11.66.3      255.255.255.0   UG    2      0        0 br2
178.63.20.132   192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
178.63.20.132   192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
178.63.20.186   192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
178.63.20.186   192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
185.32.124.171  192.168.178.1   255.255.255.255 UGH   0      0        0 eth5
185.32.124.171  192.168.179.1   255.255.255.255 UGH   1      0        0 eth4
192.0.0.0       0.0.0.0         255.255.255.0   U     0      0        0 eth0
192.168.0.0     0.0.0.0         255.255.255.0   U     0      0        0 br0
192.168.100.0   0.0.0.0         255.255.255.0   U     0      0        0 eth5
192.168.178.0   0.0.0.0         255.255.255.0   U     0      0        0 eth5
192.168.179.0   0.0.0.0         255.255.255.0   U     0      0        0 eth4
